transaction_id,product_id,transaction_date,transaction_time,transaction_type,quantity,from_warehouse,to_warehouse,unit_cost,total_value,reference_id,employee_id
INV0000001,ELEC-000053,2022-05-28,21:08:03,Receive,130,WH03,,197.71,25702.3,PO95942,EMP00030
INV0000002,CLTH-000240,2019-11-30,19:44:40,Receive,107,WH07,,48.86,5228.02,PO11777,EMP00098
INV0000003,FURN-002840,2023-01-25,13:14:18,Receive,88,WH04,,603.49,53107.12,PO85458,EMP00048
INV0000004,GRDN-003201,2020-05-19,21:29:51,Adjust,-10,WH05,,12.88,,,EMP00097
INV0000005,ELEC-000115,2023-05-16,19:08:09,Receive,26,WH06,,615.41,16000.66,PO54359,EMP00071
INV0000006,JEWL-002676,2019-11-12,00:36:54,Receive,169,WH05,,411.47,69538.43,PO70830,EMP00002
INV0000007,GRDN-003222,2020-01-17,16:55:05,Ship,-19,WH03,,34.7,,,EMP00035
INV0000008,GRDN-003258,2023-03-30,11:45:51,Ship,-18,WH01,,15.61,,,EMP00059
INV0000009,ELEC-000062,2019-09-26,14:47:01,Receive,41,WH06,,703.65,28849.65,PO48581,EMP00044
INV0000010,SPRT-001625,2020-08-05,20:28:25,Receive,44,WH01,,115.15,5066.6,PO30531,EMP00018
INV0000011,GRDN-003202,2020-03-27,19:36:54,Receive,190,WH06,,13.78,2618.2,PO52226,EMP00035
INV0000012,FURN-003013,2019-10-30,09:06:54,Ship,-3,WH06,,449.15,,,EMP00077
INV0000013,CLTH-000363,2023-09-25,12:22:24,Receive,46,WH04,,115.2,5299.2,PO81398,EMP00029
INV0000014,JEWL-002502,2019-07-08,20:41:03,Receive,76,WH06,,517.76,39349.76,PO78181,EMP00024
INV0000015,ELEC-000143,2023-04-04,00:23:51,Receive,163,WH08,,74.88,12205.44,PO62380,EMP00053
INV0000016,JEWL-002670,2022-03-03,14:29:41,Receive,159,WH01,,167.71,26665.89,PO25373,EMP00007
INV0000017,JEWL-002589,2021-11-08,09:06:30,Receive,153,WH05,,184.43,28217.79,PO35559,EMP00043
INV0000018,GRDN-003300,2020-09-27,02:18:32,Receive,170,WH01,,55.15,9375.5,PO50525,EMP00053
INV0000019,GROC-000816,2021-09-07,20:50:45,Receive,45,WH05,,6.04,271.8,PO82358,EMP00037
INV0000020,CLTH-000266,2019-09-27,21:05:13,Receive,114,WH08,,73.23,8348.22,PO52662,EMP00079
INV0000021,BOOK-002204,2023-03-02,21:33:32,Count,0,WH02,,23.54,,,EMP00018
INV0000022,JEWL-002603,2023-03-03,00:57:16,Receive,85,WH04,,490.55,41696.75,PO98652,EMP00011
INV0000023,BOOK-002294,2019-11-09,02:03:12,Transfer,19,WH03,WH06,4.48,85.12,,EMP00043
INV0000024,BEAU-001415,2020-06-20,11:37:02,Receive,160,WH06,,15.48,2476.8,PO19579,EMP00019
INV0000025,SPRT-001690,2020-06-25,13:13:16,Ship,-22,WH07,,131.15,,,EMP00014
INV0000026,BOOK-002419,2022-05-04,16:12:52,Adjust,-9,WH05,,3.43,,,EMP00048
INV0000027,FURN-002910,2023-03-17,14:59:33,Transfer,-22,WH05,WH07,343.4,,,EMP00015
INV0000028,TOYS-001953,2022-11-24,14:21:29,Receive,26,WH05,,52.37,1361.62,PO49643,EMP00021
INV0000029,TOYS-001996,2022-03-02,11:37:23,Adjust,5,WH06,,19.03,95.15,,EMP00043
INV0000030,CLTH-000253,2021-09-12,06:58:47,Ship,-50,WH07,,111.64,,,EMP00059
INV0000031,TOYS-001864,2023-07-24,23:45:01,Ship,-31,WH03,,25.89,,,EMP00005
INV0000032,CLTH-000224,2021-01-17,07:35:12,Receive,153,WH07,,50.69,7755.57,PO70632,EMP00062
INV0000033,CLTH-000196,2023-05-02,19:00:20,Ship,-15,WH01,,68.82,,,EMP00082
INV0000034,SPRT-001546,2022-09-08,02:55:22,Receive,120,WH03,,76.99,9238.8,PO57570,EMP00006
INV0000035,GROC-000893,2023-04-19,12:05:44,Receive,180,WH01,,2.52,453.6,PO51730,EMP00072
INV0000036,HOME-000573,2022-04-05,10:20:37,Receive,108,WH07,,97.73,10554.84,PO96868,EMP00029
INV0000037,BOOK-002322,2020-10-12,10:27:28,Receive,32,WH06,,19.87,635.84,PO51243,EMP00080
INV0000038,CLTH-000185,2019-12-09,11:56:33,Adjust,4,WH06,,123.57,494.28,,EMP00005
INV0000039,FURN-002853,2022-12-09,09:03:50,Ship,-46,WH08,,414.16,,,EMP00036
INV0000040,AUTO-002042,2022-11-21,18:57:01,Transfer,20,WH04,WH01,136.22,2724.4,,EMP00078
INV0000041,JEWL-002481,2023-03-07,16:37:03,Receive,143,WH06,,80.06,11448.58,PO48108,EMP00025
INV0000042,BOOK-002314,2020-06-17,07:27:55,Ship,-41,WH08,,22.83,,,EMP00087
INV0000043,BEAU-001312,2022-11-16,12:29:41,Ship,-29,WH02,,24.66,,,EMP00004
INV0000044,BEAU-001336,2020-11-21,20:38:09,Receive,34,WH08,,8.94,303.96,PO17519,EMP00009
INV0000045,TOYS-001875,2023-10-02,14:28:03,Receive,57,WH04,,17.0,969.0,PO65596,EMP00042
INV0000046,GROC-000825,2019-11-16,05:56:45,Receive,195,WH08,,8.71,1698.45,PO19883,EMP00047
INV0000047,GRDN-003148,2022-01-24,05:04:59,Adjust,-5,WH05,,31.41,,,EMP00014
INV0000048,CLTH-000450,2021-10-17,23:03:00,Ship,-9,WH04,,10.88,,,EMP00021
INV0000049,FURN-002769,2019-11-18,14:33:05,Receive,72,WH07,,99.12,7136.64,PO13067,EMP00065
INV0000050,JEWL-002571,2022-07-17,03:33:32,Ship,-36,WH06,,578.48,,,EMP00090
INV0000051,BOOK-002174,2022-07-18,20:57:27,Receive,81,WH05,,28.48,2306.88,PO76113,EMP00052
INV0000052,FURN-002918,2021-06-13,03:08:43,Receive,20,WH05,,270.75,5415.0,PO17927,EMP00072
INV0000053,FURN-002817,2022-03-03,00:51:09,Receive,141,WH01,,501.94,70773.54,PO81767,EMP00015
INV0000054,GRDN-003272,2019-07-25,23:47:32,Ship,-13,WH04,,9.9,,,EMP00066
INV0000055,AUTO-002054,2023-10-19,09:55:11,Receive,95,WH08,,62.46,5933.7,PO42267,EMP00020
INV0000056,BOOK-002301,2021-11-24,01:29:31,Transfer,-15,WH07,WH04,21.43,,,EMP00092
INV0000057,CLTH-000303,2022-01-11,04:10:15,Transfer,32,WH06,WH01,827.09,26466.88,,EMP00068
INV0000058,TOYS-001896,2022-11-17,02:30:30,Receive,139,WH08,,16.14,2243.46,PO17455,EMP00018
INV0000059,JEWL-002564,2021-03-28,11:02:34,Receive,172,WH08,,432.43,74377.96,PO81266,EMP00063
INV0000060,GROC-000886,2023-10-25,13:52:21,Count,0,WH06,,61.65,,,EMP00077
INV0000061,FURN-002777,2023-03-28,19:41:00,Receive,120,WH07,,144.14,17296.8,PO98732,EMP00031
INV0000062,FURN-002830,2020-03-05,21:15:07,Adjust,-6,WH07,,260.21,,,EMP00056
